newbookid,ratings_count,average_rating,predicted_rating
1,4780653,4.34,4.0
2,4602479,4.44,4.0
3,3866839,3.57,4.0
4,3198671,4.25,4.0
5,2683664,3.89,4.0
6,2346404,4.26,4.0
7,2071616,4.25,4.0
8,2044241,3.79,4.0
10,2035490,4.24,4.0
9,2001311,3.85,4.0
15,1972666,4.1,4.0
13,1956832,4.14,4.0
12,1903563,4.24,4.0
14,1881700,3.87,4.0
18,1832823,4.53,5.0
17,1831039,4.3,4.0
11,1813044,4.26,4.0
16,1808403,4.11,4.0
23,1779331,4.37,4.0
19,1766803,4.34,4.0
24,1753043,4.53,5.0
25,1746574,4.61,5.0
21,1735368,4.46,4.0
20,1719760,4.03,4.0
27,1678823,4.54,5.0
29,1628519,3.73,4.0
22,1605173,3.77,4.0
28,1605019,3.64,4.0
37,1531800,4.19,4.0
31,1531753,4.45,4.0
32,1467496,3.84,4.0
26,1447148,3.79,4.0
41,1366265,4.23,4.0
34,1338493,3.67,4.0
39,1319204,4.45,4.0
33,1300209,4.08,4.0
35,1299566,3.82,4.0
36,1296825,4.12,4.0
42,1257121,4.04,4.0
43,1198557,4.1,4.0
40,1181647,3.51,4.0
47,1159741,4.36,4.0
51,1154031,4.12,4.0
49,1149630,3.52,4.0
52,1134511,3.69,4.0
53,1104021,3.86,4.0
56,1070245,3.7,4.0
46,1068146,4.07,4.0
59,1064521,4.15,4.0
44,1053403,4.06,4.0
55,1022601,3.97,4.0
50,1016888,4.29,4.0
61,1008778,3.88,4.0
45,1003228,3.88,4.0
62,953970,3.94,4.0
58,953758,3.8,4.0
54,936782,4.2,4.0
57,916189,4.01,4.0
63,899195,3.82,4.0
68,888806,4.21,4.0
66,873981,4.28,4.0
60,867553,3.85,4.0
64,863879,4.06,4.0
65,846488,4.06,4.0
69,836362,4.07,4.0
67,818742,4.34,4.0
70,813439,4.3,4.0
71,808589,3.75,4.0
72,791850,4.17,4.0
74,783470,4.09,4.0
73,749780,3.84,4.0
77,747445,3.93,4.0
38,746287,3.95,4.0
76,738894,4.06,4.0
80,738757,4.28,4.0
75,736498,3.75,4.0
91,719925,4.02,4.0
85,702332,4.38,4.0
87,691231,4.3,4.0
79,670326,3.73,4.0
78,665930,3.7,4.0
90,659248,4.06,4.0
82,647684,3.94,4.0
93,639357,4.12,4.0
83,637412,3.81,4.0
89,628637,4.25,4.0
81,621099,4.24,4.0
102,620618,4.22,4.0
97,618973,3.98,4.0
117,615907,4.04,4.0
139,613674,3.89,4.0
119,607889,4.06,4.0
86,597775,4.03,4.0
134,593173,4.34,4.0
95,590014,4.06,4.0
112,587647,4.27,4.0
48,570498,3.97,4.0
98,563994,4.22,4.0
113,563265,3.98,4.0
128,560715,4.09,4.0
114,556518,4.06,4.0
103,555822,4.21,4.0
116,555359,3.89,4.0
99,552059,3.87,4.0
107,546948,4.15,4.0
100,546502,4.02,4.0
108,543658,3.61,4.0
153,541117,4.21,4.0
120,525706,3.75,4.0
92,524191,3.93,4.0
110,523303,4.4,4.0
130,520630,3.73,4.0
125,515820,4.0,4.0
137,515547,4.2,4.0
118,515090,3.9,4.0
151,514932,4.23,4.0
164,514312,4.11,4.0
109,513407,4.14,4.0
30,512475,4.03,4.0
166,511815,3.68,4.0
124,511360,4.03,4.0
138,509883,3.37,3.0
159,508214,4.39,4.0
122,506900,3.52,4.0
106,506250,3.94,4.0
206,505340,4.15,4.0
104,504793,3.95,4.0
149,503527,3.96,4.0
133,502247,4.23,4.0
111,501430,3.64,4.0
154,496018,3.88,4.0
101,495736,3.97,4.0
129,491642,4.18,4.0
183,490890,4.33,4.0
94,490565,4.04,4.0
127,490504,3.92,4.0
123,488269,3.99,4.0
115,488243,3.98,4.0
144,487775,4.4,4.0
126,485032,4.19,4.0
155,480446,4.42,4.0
143,470001,4.31,4.0
121,469836,3.88,4.0
135,469022,4.54,5.0
148,467577,3.85,4.0
136,465676,3.79,4.0
161,463959,4.51,5.0
147,463783,4.02,4.0
105,463257,3.63,4.0
142,462517,4.29,4.0
88,461311,3.88,4.0
171,459826,3.99,4.0
160,459247,3.75,4.0
157,457475,4.29,4.0
145,455610,3.67,4.0
158,453959,4.1,4.0
132,449501,3.9,4.0
187,449073,3.86,4.0
202,448166,4.0,4.0
84,447833,3.96,4.0
214,446668,4.33,4.0
140,443951,4.2,4.0
152,441062,4.01,4.0
184,440743,4.29,4.0
168,438832,4.34,4.0
182,436093,3.76,4.0
173,431195,3.98,4.0
185,429543,4.03,4.0
165,428186,4.1,4.0
252,427663,4.15,4.0
150,424981,4.16,4.0
169,424637,4.14,4.0
141,423344,4.39,4.0
170,423019,3.6,4.0
197,420764,3.96,4.0
162,420600,3.96,4.0
174,419539,3.74,4.0
203,418309,4.15,4.0
200,408983,4.23,4.0
156,403601,3.83,4.0
178,401605,3.98,4.0
192,400101,4.55,5.0
191,398018,4.35,4.0
175,397500,4.5,4.0
146,396756,3.87,4.0
224,395296,3.74,4.0
204,394540,4.02,4.0
195,393626,4.12,4.0
179,392103,4.07,4.0
207,391007,4.03,4.0
189,389054,4.47,4.0
96,387290,3.88,4.0
223,386923,3.82,4.0
181,381652,4.05,4.0
186,381080,4.04,4.0
177,380903,4.18,4.0
190,379872,3.96,4.0
167,378019,4.11,4.0
208,377249,4.04,4.0
198,376766,4.17,4.0
219,376385,4.24,4.0
205,372566,3.97,4.0
180,372099,3.99,4.0
201,369428,3.66,4.0
199,367304,4.12,4.0
188,365954,4.31,4.0
230,365425,4.13,4.0
196,365349,4.2,4.0
213,364933,3.78,4.0
234,360156,4.0,4.0
246,360044,3.79,4.0
194,358050,3.46,3.0
237,356814,3.93,4.0
254,356625,3.78,4.0
193,353011,4.11,4.0
209,351107,4.14,4.0
215,349423,4.31,4.0
211,348196,3.89,4.0
212,347006,3.88,4.0
257,343252,4.03,4.0
309,341826,4.16,4.0
229,340920,4.06,4.0
324,340379,4.12,4.0
263,339117,3.97,4.0
245,337644,3.98,4.0
243,334647,4.11,4.0
248,334241,3.94,4.0
241,333638,4.11,4.0
226,333452,3.92,4.0
232,332494,3.99,4.0
216,327409,4.19,4.0
222,327122,3.98,4.0
228,323762,3.4,3.0
131,322321,3.92,4.0
225,320919,4.35,4.0
227,320083,3.97,4.0
282,316379,4.03,4.0
247,314700,4.05,4.0
251,314016,4.15,4.0
271,313044,4.07,4.0
239,312969,4.01,4.0
275,312754,3.63,4.0
231,312444,4.14,4.0
221,311543,4.08,4.0
242,311499,4.08,4.0
217,309385,3.98,4.0
351,307994,4.46,4.0
292,306492,4.08,4.0
262,306186,4.2,4.0
259,305643,3.93,4.0
312,302303,4.12,4.0
319,300553,4.3,4.0
327,299998,4.19,4.0
294,299980,4.44,4.0
283,298304,4.25,4.0
278,297861,4.34,4.0
253,297712,3.83,4.0
172,297472,4.02,4.0
296,296952,4.29,4.0
249,294726,3.97,4.0
268,294123,3.8,4.0
238,293878,3.7,4.0
277,293844,3.99,4.0
176,292592,4.18,4.0
289,292426,4.05,4.0
265,291909,4.24,4.0
220,291411,4.23,4.0
236,291258,4.11,4.0
290,290674,3.84,4.0
281,288376,3.95,4.0
240,287533,3.8,4.0
300,285692,4.1,4.0
314,285011,3.86,4.0
264,284988,3.83,4.0
399,284833,4.06,4.0
233,283806,3.89,4.0
256,283516,3.64,4.0
255,283295,3.68,4.0
260,282623,4.13,4.0
355,281185,4.1,4.0
273,280475,4.05,4.0
276,279688,4.13,4.0
261,279264,3.72,4.0
308,278747,3.83,4.0
428,277491,4.47,4.0
298,276076,3.87,4.0
356,275670,3.89,4.0
393,274987,4.24,4.0
