rating,newbookid,newuser_id
4,14,2
4,641,2
3,473,2
4,628,2
3,552,2
5,26,2
3,380,2
5,114,2
3,131,2
3,63,2
4,161,2
1,289,2
2,359,2
3,137,2
4,129,2
4,90,2
5,35,2
4,101,2
5,738,3
4,119,3
4,7,3
5,519,4
4,159,4
5,879,4
4,493,4
4,214,4
4,257,4
5,121,4
4,671,4
5,172,4
5,546,4
5,917,4
5,48,4
4,72,4
5,264,4
3,489,4
5,737,4
3,208,4
4,33,4
5,13,4
5,55,4
5,289,4
5,210,4
5,533,4
5,893,4
5,117,4
5,600,4
5,224,4
5,10,4
5,76,4
4,80,7
5,27,7
4,18,7
3,35,7
5,94,7
4,10,7
3,33,7
4,5,7
2,23,7
3,545,7
5,115,7
4,11,7
4,428,7
3,310,7
3,591,7
2,942,7
4,227,7
3,439,7
3,561,7
2,503,7
2,840,7
3,899,7
4,909,7
2,584,7
3,356,7
3,563,7
3,108,7
2,769,7
3,726,7
5,4,7
4,38,7
4,100,7
4,276,7
3,7,7
1,874,7
3,78,7
3,966,7
1,40,7
4,111,7
4,710,7
3,684,7
3,45,7
3,76,7
4,19,7
4,154,7
4,160,7
3,318,7
5,352,7
4,157,7
4,43,7
3,63,7
4,569,7
3,713,7
4,398,7
4,694,3
2,709,9
1,792,9
2,868,9
4,118,9
2,966,9
2,708,9
2,899,9
3,561,9
5,428,9
5,310,9
5,591,9
4,964,9
4,942,9
4,609,9
5,799,9
5,119,9
5,694,9
3,679,9
3,64,9
3,707,9
3,315,9
3,312,9
3,439,9
1,503,9
1,549,9
2,840,9
1,909,9
3,584,9
5,161,9
5,688,9
5,334,9
5,170,9
5,76,9
5,224,9
5,424,9
4,410,9
4,351,9
4,721,9
4,327,9
4,286,9
2,203,9
5,417,9
5,517,9
5,560,9
4,447,9
3,959,9
5,661,9
5,176,9
3,132,9
5,63,11
5,224,11
4,76,11
3,170,11
3,410,11
5,10,11
3,2,11
4,27,11
5,21,11
4,24,11
4,18,11
3,23,11
4,424,11
1,129,11
3,759,11
5,5,11
5,517,11
5,153,11
3,125,11
4,637,11
4,358,11
4,217,11
3,511,11
5,789,11
1,137,11
2,256,11
4,696,11
3,641,11
2,779,11
1,728,11
4,71,11
3,135,11
4,271,11
3,518,11
3,221,11
3,1000,11
3,794,11
3,111,16
5,2,16
5,21,16
5,24,16
5,27,16
5,23,16
5,18,16
4,26,16
4,11,16
5,50,16
4,13,16
4,8,16
5,28,16
5,65,16
5,7,16
4,32,16
4,101,16
4,58,16
5,36,16
3,22,16
4,33,16
5,57,16
4,446,16
5,100,16
4,122,16
4,9,16
4,435,16
4,38,16
4,113,16
5,376,16
4,19,16
5,45,16
4,5,16
2,966,16
4,783,16
3,561,16
3,892,16
3,169,16
3,78,16
3,137,16
3,899,16
2,895,16
5,119,16
2,310,16
5,149,16
3,381,16
5,204,16
4,780,16
5,447,16
5,286,16
4,428,16
4,964,16
4,221,16
4,86,16
4,123,16
3,326,16
3,271,16
3,518,16
3,760,16
3,668,16
5,64,16
4,795,16
5,84,16
5,439,16
5,503,16
2,909,16
2,584,16
4,334,16
4,626,17
4,669,17
4,166,17
5,567,17
5,273,17
5,630,17
4,268,17
3,397,17
4,698,17
4,645,17
5,431,17
3,59,17
3,647,17
4,84,17
4,183,17
5,691,17
4,7,17
5,122,17
2,117,17
3,376,17
5,36,17
4,13,17
3,21,17
2,26,17
3,24,17
4,2,17
5,60,17
5,320,17
2,8,17
4,499,17
1,4,17
4,27,17
4,23,17
2,18,17
5,11,17
5,50,17
4,28,17
2,65,17
1,32,17
4,14,17
3,55,17
2,9,17
1,276,17
3,113,17
2,783,17
3,561,17
1,169,17
4,531,17
4,725,17
4,718,17
2,654,17
4,766,17
4,590,17
5,615,17
5,682,17
5,786,17
4,812,17
4,604,17
4,331,17
5,314,17
