rating,newbookid,newuser_id
4,552,377
3,488,104
4,542,601
4,52,236
3,147,736
4,719,218
5,875,973
3,337,398
2,304,75
5,41,872
2,469,735
5,5,363
4,76,768
4,56,86
3,31,902
4,182,703
4,537,304
4,130,340
1,179,190
4,590,664
4,432,735
3,46,549
3,696,307
3,347,277
5,39,291
4,637,377
5,615,982
4,647,626
4,26,751
5,779,709
4,27,666
5,43,301
5,334,204
4,287,160
3,180,862
4,743,586
5,782,557
4,637,197
5,230,134
3,57,423
3,21,579
4,705,327
4,297,147
4,5,983
4,392,760
2,341,906
5,83,465
5,4,113
3,364,35
4,944,428
4,1,269
2,35,930
5,818,186
4,15,459
4,132,177
3,159,893
3,739,567
5,511,795
3,367,181
4,374,893
3,912,502
5,117,29
5,971,430
5,59,898
2,227,469
3,384,53
4,253,887
5,189,941
4,166,961
4,147,257
3,120,259
4,129,760
4,613,116
3,865,799
4,27,246
3,203,260
5,188,92
3,172,765
5,343,931
4,116,516
4,145,729
4,407,469
5,476,122
4,8,237
5,47,37
5,59,764
5,417,715
3,223,760
4,64,321
2,249,917
4,263,325
4,611,73
4,649,553
5,624,967
4,703,341
4,772,195
5,100,283
4,178,512
4,661,982
4,100,241
4,709,208
4,274,740
4,567,731
4,22,95
2,93,118
1,16,694
3,2,314
3,391,36
3,48,934
5,143,501
5,377,363
3,60,39
4,216,67
4,75,42
5,101,904
4,194,367
4,62,98
3,195,881
5,585,658
5,310,333
3,15,405
4,219,135
3,22,402
5,15,395
1,33,537
2,338,915
4,531,959
3,379,474
4,58,16
5,43,771
4,170,911
4,740,5
2,453,898
5,881,294
3,107,540
5,536,682
4,140,707
5,153,561
4,262,902
4,561,793
4,9,842
5,654,274
5,128,999
5,57,625
5,89,42
2,751,270
5,869,761
4,560,907
5,23,59
4,569,7
5,150,674
3,180,521
4,475,50
4,505,39
2,660,185
5,213,49
4,438,395
4,32,547
1,73,59
5,549,642
5,263,465
3,107,409
5,134,511
1,625,175
4,809,155
5,891,469
4,59,253
5,393,83
4,80,434
3,216,671
5,342,939
5,414,99
3,176,597
4,89,541
4,21,855
3,656,398
4,288,259
5,109,181
3,375,135
5,585,831
5,628,176
3,180,162
3,134,176
5,294,753
5,187,574
4,556,322
5,624,165
5,227,122
4,723,446
5,129,416
5,611,638
5,183,50
4,30,34
4,1,532
5,683,481
4,282,830
5,204,381
4,119,375
3,274,871
5,36,167
2,125,405
3,75,687
5,66,699
4,41,162
5,46,776
4,774,230
4,29,664
5,298,609
4,645,612
1,473,813
4,360,350
4,118,540
2,547,406
3,287,902
3,547,711
3,447,161
5,22,986
4,297,16
4,821,19
5,414,195
3,985,783
4,307,44
4,602,242
5,112,740
5,50,564
2,736,913
5,864,243
3,216,755
4,141,136
3,167,327
4,244,556
5,172,526
4,123,55
5,410,101
4,702,798
3,289,961
2,129,132
5,1,524
4,666,122
4,121,894
1,93,881
5,792,863
4,17,97
3,49,562
4,381,128
4,90,346
5,967,903
5,775,134
4,955,785
5,24,265
3,223,680
5,2,326
5,691,58
4,23,914
1,196,983
4,639,348
3,21,825
4,176,433
5,446,191
2,610,475
4,211,177
5,76,89
5,36,613
3,43,722
4,9,691
3,837,257
4,47,616
5,863,841
4,849,176
5,824,413
4,498,548
5,3,859
4,263,700
3,37,717
4,116,196
3,929,361
3,311,416
5,365,219
3,330,86
5,510,876
4,548,95
4,79,478
3,23,823
5,135,651
5,618,291
5,39,438
5,801,56
5,314,574
4,20,5
1,34,739
3,503,554
5,319,594
5,414,73
3,308,35
4,17,663
4,871,64
3,240,328
4,145,39
4,190,639
3,168,243
5,116,655
3,82,408
5,544,561
3,814,418
5,169,995
5,83,106
3,125,619
5,142,950
5,836,676
5,574,951
5,193,718
4,130,325
5,49,387
5,806,783
3,863,254
3,123,855
4,248,887
3,56,229
1,172,287
4,8,497
2,850,987
3,491,695
5,226,276
5,64,387
4,83,772
5,697,946
4,651,248
4,4,172
4,121,149
4,4,190
4,50,196
4,614,838
4,571,400
1,39,313
5,2,764
5,148,311
5,281,942
3,202,459
3,613,145
2,248,142
4,393,894
2,233,990
5,14,619
3,13,167
3,593,905
3,384,997
4,330,216
1,900,182
5,114,913
5,327,58
5,217,946
5,820,452
5,2,342
5,109,822
3,377,241
